ID,Entry,OriginalEmotion
5936,yaz tatili geldiği için çok mutluyum,Happy
5937,derslerim kötü olacak diye korkuyorum,Fear
5938,matematik hocamızın bize haksız davranmasına üzülüyorum,Anger
5939,sınıf hocamın bana değer vermemesi beni üzüyor.,Sadness
5940,okuduğum okuldan tiksiniyorum,Disgust
5941,haklı olduğumuz konuda hocamızın çalışkan öğrencileri haklı çıkarması beni şaşırtıyor,Surprise
5942,okul açılacağı için çok mutluyum,Happy
5943,okulu zorunlu bırakacağım için çok korkuyorum,Fear
5944,öğretmenlerin haksızlığını kabul edemiyorum.,Anger
5945,en sevdiğim öğretmenimin gittiğine çok üzüldüm,Sadness
5946,kendini beğenen insanlardan tiksiniyorum,Disgust
5947,kapımı çalan öğretmenimi görünce şaşırdım.,Surprise
5948,"fenerbahçeli, olduğum için çok mutluyum",Happy
5949,korku filmi seyretmekten korkuyorum,Fear
5950,yalan söylenmesinden hoşlanmam,Anger
5951,annemin ameliyata götürdüklerinde çok üzüldüm.,Sadness
5952,sigara içilmesi ve boş boş konuşulmasından tiksinirim,Disgust
5953,birden bire ablamın bana gelip söylediği acı sözler,Surprise
5954,başarılı olmak benim için en büyük mutluluktur,Happy
5955,arılardan çok korkarım,Fear
5956,çocuk istismarı haberlerine çok öfkelenirim,Anger
5957,yoksul insanlar için bir şey yapamadığım için çok üzgünüm,Sadness
5958,ishal olunca kendimden tiksinirim,Disgust
5959,vejeteryan insanlara şaşarım,Surprise
5960,çok büyük meblada bir para elime geçince çok mutlu oldum,Happy
5961,ameliyat esnasında kanama nedeniyle hastanın sağlığı kötüye gittiği zaman çok korkmuştum,Fear
5962,iş arkadaşlarımın hakkımda söylediklerini duyduğum anda çok sinirlendim,Anger
5963,vefat eden kardeşimin özlemi üzüntü veriyor,Sadness
5964,kötü kokulardan tiksiniyorum,Disgust
5965,hiç ummadığım bir anda hocam aradığında çok şaşırdım,Surprise
5966,Sevdiğim arkadaşlarımı görünce çok mutlu oluyorum.,Happy
5967,Okulun bitmesi beni korkutuyor.,Fear
5968,Biri bana laf attığında çok öfkelenirim.,Anger
5969,Sevdiklerimden ayrılmak beni üzüyor.,Sadness
5970,İki insanın karşılıklı kavga etmesinden hoşlanmıyorum.,Disgust
5971,Ailemin bana sürpriz yapması beni şaşırtıyor.,Surprise
5972,Bu yıl galatasaray şampiyon oldu diye çok mutlu oldum.,Happy
5973,Sınavım kötü olacak diye çok korktum.,Fear
5974,İftiradan çok nefret ederim.,Anger
5975,Okul bitiyor.Sevdiklerimden ayrıldığım için üzülüyorum.,Sadness
5976,Başkasının benim hakkımda kötü şeyler söylediğini duyarsam ondan tiksiniyorum.,Disgust
5977,Sevdiğimle karşılaştığımda çok şaşırdım,Surprise
5978,"Derslerim iyi olunca,ailem mutlu olunca,sevdiklerimle olunca çok mutlu olurum.",Happy
5979,Gelecekten ve büyümekten çok korkuyorum.,Fear
5980,Lise bitince arkadaşlarımı hiç göremeyeceğim için sürekli bana okul ve ders dedikleri için  içimden onlara karşı bir öfke duyuyorum.,Anger
5981,"
      Canımdan çok sevdiğim, aşık olduğum kişi beni sevmediği için çok üzülüyorum. İntihar etmeyi
      bile düşündüm.
    ",Sadness
5982,Sevmediğim biri bana dokununca alerji yaparmışcasına çok tiksinirim.,Disgust
5983,Okulda imam hatip birincisi olunca çok şaşırdım.,Surprise
5984,Kronik bir rahatsızlığı olan ayağım iyileşmeye başladığında çok mutlu oldum.,Happy
5985,Çocukken gece karanlıktan korkardım.,Fear
5986,"Erkek arkadaşım hassas bir konuda bana alaycı, soğuk bir tavır takınınca çok öfkelendim.",Anger
5987,Suriyeli mültecileri yerde otururken gördüğümde üzülüyorum.,Sadness
5988,Kendi dağınıklığımdan bıktım,Disgust
5989,Arılar hakkında öğrendiğim detaylı bilgiler beni çok şaşırttı.,Surprise
5990,Makalem kabul edildiğinde çok mutlu oldum,Happy
5991,Okulun bahçesinde bir sürü köpek bana doğru geldiğinde çok korktum,Fear
5992,Yol kenarına park eden araçların yanına ikinci bir aracında dörtlüleri yakıp park etmesine çok öfkeleniyorum.,Anger
5993,Annemin vefatının gözümün önünde olmasını hala unutamıyorum,Sadness
5994,Dün söylediğini bugün inkar eden politikacılar beni tiksindiriyor,Disgust
5995,Hiç ummadığım anda yurt dışında yaşayan çok sevdiğim üniversite arkadaşım yolda karşıma çıktı ve çok şaşırdım,Surprise
5996,Bir kaza haberi duyduğumda yaralanan yada ölen olmadığını duyunca çok mutlu oldum.,Happy
5997,Şiddetli gök gürültüsü duyduğumda  çok korkmuştum.,Fear
5998,"Bazı insanların ağaçlara ,bitkilere,hayvanlara zarar verdiklerini görünce öfkelenirim.",Anger
5999,Sokakta işkence gören  hayvanları görünce çok üzülmüştüm.,Sadness
6000,Tırnakların uzamasından sonra aralarına bir şeylerin girmesinden tiksiniyorum.,Disgust
6001,Başka bir şehirde olan abimi karşımda görünce şaşırdım.,Surprise
6002,Kardeşim olacağı için mutluyum.,Happy
6003,Hayalimdeki mesleği yapamamaktan korkuyorum.,Fear
6004,Sevmediğim veya hoşlanmadığım bir şey yapıldığında öfkeleniyorum.,Anger
6005,Annemin hamileyken sigara içmesi beni çok üzüyor.,Sadness
6006,Annemin sevmediği yemeği yapmasından hoşlanmıyorum.,Disgust
6007,Amcamın Babamı reddetmesine çok şaşırmıştım.,Surprise
6008,Nineme yardım etmek beni mutlu ediyor.,Happy
6009,Karanlıktan çok korkuyorum.,Fear
6010,Bir şey başaramadığım zaman çok öfkeleniyorum.,Anger
6011,Annemin hastalığına çok üzülüyorum.,Sadness
6012,Farelerden tiksiniyorum.,Disgust
6013,10 yıl önce halamın oğlu evden kaçtı. on yıl sonra gelince çok şaşırdım,Surprise
6014,sınıfı geçmek beni mutlu eder.,Happy
6015,biri bana laf atınca çok sinirlenirim,Fear
6016,arkadaşım bana verdiği sözü yerine getirmezse öfkelenirim.,Anger
6017,hayvanım ölse çok üzülürüm.,Sadness
6018,Evime birisi gelince önce evimin kurallarını bilmeli sonra benden izin almalı.,Disgust
6019,yüksek not alınca çok şaşırırım.,Surprise
6020,üniversiteye gidebilsem çok sevinirim.,Happy
6021,Dişçiye ilk gittiğimde ben de korktum.,Fear
6022,emir verilince öfkelenirim,Anger
6023,nenem ölmüştü çok üzüldüm.,Sadness
6024,hayvan ölüsü görmek beni tiksindirir.,Disgust
6025,hediye alsam çok şaşırırım.,Surprise
6026,bu yıl Galatasaray dördüncü yıldızını aldı çok mutlu oldum.,Happy
6027,geceleyin biri ölürse çok korkarım.,Fear
6028,birinin beni kandırması beni çok öfkelendirir.,Anger
6029,askere giden abimi çok özlüyorum.,Sadness
6030,eve gelen misafirin sigara içmesinden tiksinirim.,Disgust
6031,sınavdan düşük aldığımda çok şaşırdım.,Surprise
6032,sevdiğim insanlardan aynı sevgiyi görünce çok mutlu oluyorum.,Happy
6033,sevdiklerimden ayrı kalmaktan çok korkarım.,Fear
6034,bir bayana olumsuz söz söyleyen birini görünce çok sinirleniyorum,Anger
6035,arkadaşlarımla aramızda bir sorun çıkınca üzülüyorum.,Sadness
6036,babamın yanımda sigara içmesi beni tiksindiriyor.,Disgust
6037,hayatta olan her güzellik beni şaşırtıyor.,Surprise
6038,sevilmek beni mutlu eder.,Happy
6039,korku nedir bilmem,Fear
6040,sinirlerimi kontrol edemeyince öfkelenirim.,Anger
6041,ağlayan çocuk görünce üzülürüm.,Sadness
6042,sigara içmekten tiksinirim.,Disgust
6043,aldığım iyi notlar beni şaşırtıyor.,Surprise
6044,voleybol turnuvasında birinci olmak beni mutlu etmişti.,Happy
6045,karanlıktan korkarım.,Fear
6046,arkadaşım beni dinlemeyince kızarım.,Anger
6047,anneannemi düşününce çok üzülüyorum.,Sadness
6048,arkadaşım güçlü olmadığı için ondan tiksinmeye başladım.,Disgust
6049,askere giden abime çok şaşırmıştım.,Surprise
6050,okulumu okumak beni mutlu eder.,Happy
6051,en büyük korkum gelecekte başarısız olmam.,Fear
6052,bir arkadaşımın arkamdan konuşması beni öfkelendirir.,Anger
6053,ailemi küçük düşürülmesi beni üzer.,Sadness
6054,bir arkadaşımın toza elini sürmesi beni tiksindirir.,Disgust
6055,çıktığım kızın daha sonra yakın arkadaşımla çıkması beni şaşırttı.,Surprise
6056,futbol turnuvasını kazanınca mutlu olurum.,Happy
6057,akrepten korkarım.,Fear
6058,boş konuşan beni öfkelendirir.,Anger
6059,hocalar bana kızdığında üzülürüm,Sadness
6060,hocalarımdan tiksinirim.,Disgust
6061,güzel bir habere şaşırırım.,Surprise
6062,sevgilimle mutlu olurum,Happy
6063,akşam rüya görünce korkarım.,Fear
6064,Sınıfta çok konuşanlara öfkelenirim.,Anger
6065,sevgilimden ayrıldığım için üzülüyorum,Sadness
6067,öğretmenler derse zamanında girince şaşırıyorum,Surprise
6069,Allah tan başka kimseden korkmam,Fear
6070,müdüre çok öfkeliyim.,Anger
6071,annem ameliyat olduğu zaman çok üzüldüm,Sadness
6072,ahır zamanında temizlenmeyince tiksiniyorum.,Disgust
6073,aklıma bir şey gelmeyince şaşırırım.,Surprise
6074,abim evlenince çok mutlu oldum.,Happy
6075,babam beni dövünce korkarım.,Fear
6076,arkadaşım beni üzünce öfkeleniyorum.,Anger
6077,ablam hastalanınca çok üzüldüm.,Sadness
6078,arkadaşımın tipi beni tiksindirir,Disgust
6079,babam aniden gelince çok şaşırdım,Surprise
6080,sevgilimle ilk defa baş başa kalınca çok mutlu olmuştum.,Happy
6081,rüyamda abimin ölümünü görünce çok korktum.,Fear
6082,arkadaşım sinemaya benimle gelmeyince çok öfkelendim.,Anger
6083,annem hasta olunca üzülmüştüm.,Sadness
6084,domatesin içinde kurt görünce çok tiksindim.,Disgust
6085,hocam karne günü çok güzel olmuştu çok şaşırdım.,Surprise
6086,sevdiğimin yanında olmak beni mutlu eder.,Happy
6087,sevgilimle telefonla konuşurken babama yakalandım,Fear
6088,Dedikodular beni kızdırır.,Anger
6089,anne ve babamla yaşadığım olaylar beni üzüyor.,Sadness
6090,yanımda biri yere tükürürse çok tiksinirim.,Disgust
6091,sevgilimle görmeden bir ay çıktım. onu ilk gördüğüm an çok şaşırdım.,Surprise
6092,sınıf birincisi olduğumda çok mutlu oldum,Happy
6093,annem hasta olduğunda çok korktum.,Fear
6094,arkadaşımın benden izinsiz değerli bir eşyamı alması beni çok öfkelendirdi.,Anger
6095,çok sevdiğim arkadaşım beni dışladığında çok üzüldüm.,Sadness
6096,köpek seslerinden çok tiksinirim.,Disgust
6097,uzun zamandır görmediğim arkadaşımı görünce çok şaşırdım.,Surprise
6098,Her nefes alışım beni mutlu ediyor,Happy
6099,Bana haksızlık yapılmasından çok korkuyorum,Fear
6100,Anlaşılmamak beni öfkelendirir,Anger
6101,insanların öldürülmesine çok üzülüyorum,Sadness
6102,insanların ikiyüzlü olması beni tiksindiriyor,Disgust
6103,Kaşlarım ilk alındığında çok şaşırdım,Surprise
6104,Uzun suredir görmediğim sevdiğim biriyle karşılaştığımda mutlu oldum.,Happy
6105,Evde yalnız başıma kaldığımda elektrikler giderse korkarım.,Fear
6106,Haksızlığa uğradığım zaman çok öfkelendim,Anger
6107,Uzun suredir tanıdığım biri beni kandırdığında üzüldüm.,Sadness
6108,Akşam yemekte mantar olduğunu görünce tiksindim.,Disgust
6109,Savunduğum şeyin yanlış olduğunu fark ettiğim zaman çok şaşırdım.,Surprise
6110,Dünyanın her yerinde bir arkadaşımın olduğunu bilmek beni mutlu ediyor.,Happy
6111,ilk kez yalnız başıma bir ülkede kalmaktan.,Fear
6112,Yabancı düşmanların var oluşundan öfkeliyim.,Anger
6113,Zamanın çok hızlı geçtiğine ve böylece yaşlandığıma üzülüyorum.,Sadness
6114,insanların benim içtiğim şişeden içmek istediğinde tiksiniyorum.,Disgust
6115,insanların benim boksör olduğuma inanmak istememelerine.,Surprise
6116,2 yıl işsiz kaldıktan sonra yaptığım iş görüşmesine kabul edilince çok mutlu oldum.,Happy
6117,İlk kez panik atak geçirdiğimde çok korktum.,Fear
6118,Otobüste ya da toplu taşıma araçlarında gözle ya da sözlü tacize maruz kalınca çok öfkeleniyorum.,Anger
6119,3 ay sonra evleneceğim erkek arkadaşım beni terk ettiğinde çok üzüldüm.,Sadness
6120,Kirli bırakılan tuvaletlerden tiksiniyorum.,Disgust
6121,Daha önce hiç görmediğim birini rüyamda görüp 1 sene sonra aynı kişiyle karşılaşınca çok şaşırdım.,Surprise
6122,Stajım bittiğinde çok sevindim.,Happy
6123,Ani hareketlerden çok korkuyorum.,Fear
6124,Arkadaşım sözünü tutmayınca çok kızdım.,Anger
6125,Köpeğime bakamadığımda üzüldüm.,Sadness
6126,El yıkamayanlardan tiksiniyorum.,Disgust
6127,Ailece tatile gideceğimizi duyunca şaşırdım.,Surprise
6128,Taktirname belgesi  aldığım için sevindim.,Happy
6129,yılanı görünce çok korktum.,Fear
6130,Sınavdan düşük aldığım için çok öfkelendim.,Anger
6131,fenerbahçe kaybedince üzüldüm.,Sadness
6132,Arkadaşımın gereksiz sorularından bıktım.,Disgust
6133,Ablamı görünce çok şaşırdım.,Surprise
6134,Fenerbahçe'nin 4. yıldızı almasıdır.,Happy
6135,bir öğrenciden korkuyorum.,Fear
6136,Galatasaray'ın 4. yıldızı almasına çok öfkeliyim.,Anger
6137,"
      Dedemi çok küçükken kaybettim


























      +++++++++++++

















      Dedemi çok küçükken kaybettiğim için  çok üzüldüm.
    ",Sadness
6138,Örümceği gördüğümde tiksiniyorum.,Disgust
6139,Üniversitedeki abimi karşımda görünce çok şaşırdım.,Surprise
6140,Sınavım çok iyi geçtiği için çok mutluyum.,Happy
6141,Yılan görünce korkuyorum.,Fear
6142,Fenerbahçe maçı kazanınca çok öfkelendim.,Anger
6143,Sınavdan kötü not aldığım için üzüldüm.,Sadness
6144,Fareden korkuyorum.,Disgust
6145,Sınavdan 5 alınca çok şaşırdım.,Surprise
6146,Abim iyileşince çok mutlu oldum.,Happy
6147,Evde tek başıma kaldığımda korkmuştum.,Fear
6148,Arkadaşım elbisemi getirmediği için çok öfkelendim.,Anger
6149,Teyzem ölünce çok üzüldüm.,Sadness
6150,Yılan görünce tiksinirim.,Disgust
6151,Ablamı beklemediğim bir anda karşımda görünce çok şaşırdım.,Surprise
6170,Öğretmenler tarafından övüldüğüm zaman,Happy
6171,Ortaokuldayken  aşı olduğumda çok korktum.,Fear
6172,Hocanın sınavları geç yapmasına sinirleniyorum.,Anger
6173,Okul tatil olduğunda öğretmenlerimden ve arkadaşlarımdan ayrıldığım için üzüntülüyüm.,Sadness
6174,Ete dokunmaktan tiksiniyorum.,Disgust
6175,Onur belgesi aldığımda şaşırdım.,Surprise
6176,"bir sezon içinde okulda futbol, basketbol ve voleybol takımlarıyla şampiyonluk yaşamak benim için mutluluk kaynağıydı.",Happy
6177,Bir yakınım öldüğünde gece vakti eve giremezdim,Fear
6178,Evimize hırsız girmişti. Hırsız sadece benim kazandığım paraları alıp gitmişti,Anger
6179,Bazı hastalıklardan dolayı babaannem ve dedemi arka arkaya kaybetmek,Sadness
6180,yolda yürürken önümde birinin yere tükürmesi,Disgust
6181,Üniversite tercihlerinde gelmez dediğim tercihimin gelmesi,Surprise
6182,iş başvurumun kabul edilmesi beni çok mutlu etmişti.,Happy
6183,hayatımda yaşadığım en büyük korkum hastanede sevdiğim bir insanı kaybetmektir.,Fear
6184,En iyi arkadaşım olan kişinin bazı konular hakkında gözümün içine baka baka yalan söylediğini bilmek beni çok fazla öfkelendirdi.,Anger
6185,Kaybettiğim kaçırdığım fırsatları geri yakalayamadığım zamana çok üzülüyorum. Bir gün çok sevdiğim birini kaybetmiştim. Cenaze evine taziyeye gittiğimde çok üzülmüştüm. Dedim ki keşke daha çok vakit geçirseydik diye çok üzülmüştüm.,Sadness
6186,Misafirliğe gittiğim bir evde bir bebeği seviyordum. Bebek aniden üzerime kustu. Çok tiksinmiştim.,Disgust
6187,Aylardır görmediğim sevdiğim saydığım canım kadar değerli olan dostumu bir akşam üzeri ansızın kapıma gelmesi beni çok şaşırtmıştı.,Surprise
6188,ilk çocuğum doğduğunda  çok mutlu oldum,Happy
6189,yılan görmekten korkarım,Fear
6190,Hayvanlara işkence yapanlara çok öfkeleniyorum,Anger
6191,kızım hasta olduğunda çok üzüldüm.,Sadness
6192,ıslanmış ekmekten tiksinirim,Disgust
6193,oğlumun evde yalnız kalmasına şaşırdım.,Surprise
6194,işe başladığımda çok mutlu olmuştum,Happy
6195,hasta olmaktan korkarım,Fear
6196,dedikoduya çok öfkelenirim,Anger
6197,kömür madeninde ölen işçilere çok üzüldüm.,Sadness
6198,ter kokan insandan tiksinirim,Disgust
6199,oğlumun on aylıkken yürümesine şaşırmıştım.,Surprise
6200,Bu sene evlendim. Düğünümde çok mutlu olmuştum,Happy
6201,ailemden dedemi kaybedince çok korkmuştum.,Fear
6202,Amirimden izin istemiştim. İzin vermeyince öfkelendim,Anger
6203,ailemden uzakta yaşamaya başlayınca ayrı oluşuma çok üzülmüştüm,Sadness
6204,oteldeki kirli çarşafları görünce tiksinmiştim,Disgust
6205,üniversite sınavında mühendislik gelmeyince şaşırmıştım,Surprise
6206,Kızım ve oğlum dünyaya geldiğinde mutlu oldum.,Happy
6207,yedi yaşında ilk kez anne baba kavgasının arasında kaldım ve çok korktum.,Fear
6208,işimle ilgili ya da özel hayatımda haksızlığa uğrayınca çok öfkelenirim.,Anger
6209,Dedemin vefatına çok üzüldüm. Halen de düşünür ve üzülürüm.,Sadness
6210,Bardakların içine konulan sigara izmaritlerini görünce iğreniyorum.,Disgust
6211,üniversite sınavında tercihlerimin çoğunu öğretmenlik ve bunun yanında sadece ziraat mühendisliği olarak yaptım. Ziraat mühendisliği kazandığımı öğrenince çok şaşırdım.,Surprise
6212,hayatım boyunca ailemin yanımda olması. Varlıkları beni her zaman mutlu etmiştir.,Happy
6213,beş yaşımda göl kenarında oynarken göle düştüğümde korkmuştum.,Fear
6214,haklıyken haksız duruma düşmek beni bazen öfkelendiriyor.,Anger
6215,anneannem ve dedem vefat ettiğinde üzülmüştüm.,Sadness
6216,kadınlara tecavüz edilmesine ve gerekli cezaların verilmemesine tiksinirim.,Disgust
6217,Yılbaşı günü arkadaşımın yaptığı sürprize çok şaşırdım.,Surprise
6218,"
      Karnemde teşekkür belgesi beklediğim halde takdir belgesi geldiği için çok mutlu oldum.
      dürdüncü sınıfa geçtiğim için çok mutluyum.
    ",Happy
6219,Bir anda karşıma köpek çıkınca hemen kaçtım.,Fear
6220,kardeşim beni rezil edince çok öfkelendim.,Anger
6221,Köpeğimiz paşa besleyemediğimiz için gittiğinde çok üzülmüştük.,Sadness
6222,sigara kokusundan tiksinirim.,Disgust
6223,Doğum günü sürprizimi görünce çok şaşırdım.,Surprise
6224,çocuğum doğduğu an,Happy
6225,"ameliyathane kapısında beklerken, içerideki yakınımı kaybetme korkusu",Fear
6226,nişanlımın sırf işimden hoşlanmadığı için nişanı atması,Anger
6227,çocuğumun doğduğu saatte dayımın vefat etmesi,Sadness
6228,havalimanında içkili yolcunun üzerime kusması,Disgust
6229,babamı kaybettiğime üzülürken bana yüklü bir borç bırakması,Surprise
6230,hastaneden tedavimi tam anlamıyla bitirip çıktığımda çok mutlu oldum.,Happy
6231,babam ameliyat olurken çok korktum,Fear
6232,Esin hocam geçen sene beni 48.50 ile astronomi dersinden sınıfta bıraktı,Anger
6233,küçükken tavşanımı kedi kaptı ve tavşanım felç olmuştu,Sadness
6234,dedemin alkolikliğinden bıktım,Disgust
6235,babam bana kedi alınca çok şaşırmıştım,Surprise
6236,çocuklarımın doğumu en büyük mutluluğumdu.,Happy
6237,çok yakınlarımı eşimi ve çocuklarımı kaybetme korkusu,Fear
6238,dolmuşta cüzdanım çalındığında kızmıştım.,Anger
6239,annemi ve babamı kaybetmem en büyük üzüntümdür.,Sadness
6240,toplu taşıma araçlarındaki ter kokusundan tiksinirim,Disgust
6241,yakın dostumun sürpriz ziyareti hem sevinmeme hem de şaşırmama neden oldu.,Surprise
6242,uzun süre görüşmediğim sevdiklerimle birlikte olmak,Happy
6243,çıkmaz bir sokakta kalmak,Fear
6244,yapmadığım bir şey ile suçlanmak,Anger
6245,çocuğumu kaybetme düşüncesi.,Sadness
6246,yerlere tükürülmesi.,Disgust
6247,ikiz bebeklerim olacağını duyduğumda çok şaşırdım.,Surprise
6248,yaz mevsiminin gelmesi,Happy
6249,sevdiğim insanların ölmesi,Fear
6250,siyasilerin sorumsuzlukları,Anger
6251,kedimizin ölümü,Sadness
6252,birinin kusması,Disgust
6253,buz gibi suda yüzmeyen biri olarak geçen yaz bol bol suya girmeme şaşırdım,Surprise
6254,birilerini mutlu etmek beni çok mutlu ediyor.,Happy
6255,komşumuza hırsız girdi ve ilk defa yalnız kaldığımda korktum,Fear
6256,oğlumun sorumluluklarını yerine getirmemesi beni çok sinirlendiriyor,Anger
6257,eşimi kaybetme düşüncesi beni çok üzüyor.,Sadness
6258,eve gelen özellikle erkek misafirlerin tuvaleti düzgün kullanmamaları beni rahatsız eder.,Disgust
6259,oğlumun uğruna benim için kıyasıya tartıştığı bir konuyu sonrasında ılımlı bir şekilde tatlıya bağlaması,Surprise
6260,isveç'e doktoraya kabul edildiğim zaman çok mutlu olacağım,Happy
6261,gerçekten sevdiğim insanları kaybetmekten korkarım.,Fear
6262,aptal insanlara öfkeleniyorum.,Anger
6263,aşık olduğum kişiden ayrılmak zorunda kaldığım için çok üzülüyorum.,Sadness
6264,yemek yerken terleyen şişman insan görüntüsünden tiksiniyorum.,Disgust
6265,şaşıracağım tek şey herhangi bir insana yalakalık yapmam olur.,Surprise
6266,kızımın başarıları beni her zaman mutlu etti.,Happy
6267,trafik kazası geçirdiğimde ölmekten çok korktum.,Fear
6268,eşimin çocuğumuza sorumsuzluk yapmasına çok öfkeleniyorum.,Anger
6269,bana bakan büyüten anneannemi kaybettiğimde çok üzüldüm.,Sadness
6270,tuvaleti iyi kullanmayanlardan çok tiksinirim.,Disgust
6272,Erkek arkadaşımla ilk tanıştığımda çok mutlu oldum.,Happy
6273,Başka bir şehre yerleştiğimde evde ilk kez geçirdiğim gecede çok tedirgin oldum.,Fear
6274,Arkadaşım geleceğini belirttiği saatte gelmeyince çok öfkelendim.,Anger
6275,Annemin ölümüne çok üzüldüm.,Sadness
6276,Tuvaleti kirli gördüğümde çok tiksindim.,Disgust
6277,okul dışında bir kadın Buradan kalkar mısınız? diye sorup elimizdeki sigaraları çirkin bir biçimde başka yerde içmemizi söylediğinde çok şaşırdım.,Surprise
6278,Ülkemin sosyal ve hukuk devleti olduğunu görebilmek.,Happy
6279,Yakınlarımın gelecek kaygısını taşıması beni korkutur.,Fear
6280,Her alanda yaşanan hukuksuzluk.,Anger
6281,Ülkemin içinde bulunduğu durum.,Sadness
6282,Kişisel çıkarlar nedeniyle oluşan duyarsızlıklar.,Disgust
6283,"çağdaş, uluslararası alanda saygın bir Türkiye.",Surprise
6284,sevdiklerimin başarıları,Happy
6285,Sevdiklerimi kaybetme korkusu,Fear
6286,"Sevdiklerimin beni aldatması, yalan söylemesi.",Anger
6287,sağlık sorunum olduğunu öğrendiğimde,Sadness
6288,Burnunu karıştıranlardan tiksinirim.,Disgust
6289,konuşmayan annemin konuşması,Surprise
6296,babamlar hiç beklenmedik zamanda bana hediye alınca çok mutlu oldum.,Happy
6297,sınav notum düşük olduğundan eve gitmeye korktum.,Fear
6298,ben uyurken beni uyandıranlara öfkeyle karşılık veririm.,Anger
6299,vefat eden dedem içimi çok acıtıyor.,Sadness
6300,bir adam yanımdan geçerken yere balgam atması beni tiksindiriyor.,Disgust
6301,annemler bana telefon alınca çok şaşırdım.,Surprise
6302,Oğlumun başarıları benim mutluluğumdur.,Happy
6303,Genel anestezi ile ameliyattan korkuyorum.,Fear
6304,Bana yalan söylendiğini öğrendiğimde çok öfkeleniyorum.,Anger
6305,Aile fertlerinden birinin ölümü içimi çok acıttı.,Sadness
6306,İnsanların yerlere tükürmesi ya da erkeklerin saygısız davranış ve sözleri bir bayan olarak hoşlanmıyorum.,Disgust
6307,Oğlum bilimsel olarak tasarladığı projeyi bana anlattığında çok şaşırdım ve gurur duydum.,Surprise
6308,ilk torunum dünyaya geldi onu kucağıma aldığımda mutluluktan ağladım. ben de bir anneanne oldum.,Happy
6309,yükseklik korkum vardı.asansöre binip içinde kalmaktan korkardım.,Fear
6310,sözünde durmayana öfkelenirim,Anger
6311,"ani ölümler, ayrılıklar beni en çok üzen şeyler arasında yer alır.",Sadness
6312,belgeselleri severim ama hayvanların birbirlerini parçalamasından tiksiniyorum.,Disgust
6313,çok kilolu arkadaşımın zayıflamış halini görünce onu tanıyamadım çok şaşırdım.,Surprise
6314,"bir erkek evladım var, ikinci çocuğumun kız olacağını öğrenince çok mutlu oldum.",Happy
6315,evde yalnız kaldığımda her yeri kontrol ediyorum.,Fear
6316,markette ve bu gibi benzeri yerlerde sıradayken birileri önüme geçince öfkeleniyorum.,Anger
6317,babam öldüğünde çok üzüldüm.,Sadness
6318,burnunu karıştıran birisini gördüğümde tiksiniyorum.,Disgust
6319,çocuğumun karnesini kötü görünce çok şaşırdım.,Surprise
6320,Yıllar öncesinden bir arkadaşımın araması beni çok mutlu etti.,Happy
6321,gece yarısı ıssız bir sokakta arkamdan biri yürürken,Fear
6322,Trafikte bir kadının üzerime aracını sürüp sonra hiçbir şey yokmuş gibi çekip gitmesi,Anger
6323,Arabanın çarptığı kediyi kanlar içinde görmek beni çok üzdü.,Sadness
6324,Kızımın tüm kıyafetlerinin odasında yerlerde olmasından bıktım.,Disgust
6326,yeni işe girince çok mutlu oldum.,Happy
6327,evime hırsız girince korkmuştum.,Fear
6328,eşim beni anlamak istemediğinde öfkeleniyorum.,Anger
6329,annemin hastalığını öğrenince üzüldüm.,Sadness
6330,solucandan tiksiniyorum.,Disgust
6331,kızım bize hediye olarak televizyon alıp onu kargo ile gönderdiğinde şaşırmıştım.,Surprise
6332,kilo vermem  ve sürprizler beni mutlu eder.,Happy
6333,evde böcek görmekten ödüm patlar.,Fear
6334,otobüste çocuklarının yanında oturup da yer vermeyen ebeveynler.,Anger
6335,ölüm haberi beni üzer,Sadness
6336,yola insanların tükürmesi iğrençtir.,Disgust
6337,milli piyango çıkınca çok şaşırdım.,Surprise
6338,Uzun bir süre emek verdikten sonra ortaya çıkan bir etkinlik beni mutlu ediyor.,Happy
6339,Yakınlarımı kaybetmekten korkuyorum.,Fear
6340,"Hak etmediğimde karşılaştığım tavır ve davranışlar, sözlere öfkeleniyorum.",Anger
6341,İnsani duyguların körelmesine üzülüyorum.,Sadness
6342,İnsanların ikiyüzlülüğünden tiksiniyorum.,Disgust
6343,Beklenmedik insanlardan beklenmedik tavır ve davranışlara şaşırıyorum.,Surprise
6344,sevdiklerimi iyi görmek beni mutlu eder.,Happy
6345,ailemden birini kaybetme korkusunu yaşıyorum.,Fear
6346,kızımın bana yalan söylemesine çok kızdım.,Anger
6347,beni en çok pişmanlıklarım üzer.,Sadness
6348,yemek pişiren ya da servis eden kişinin hijyen kurallarına uymamasından hoşlanmam.,Disgust
6349,beklemediğim birini görünce afallarım.,Surprise
6350,Bir şirketin %1'ini aldığımda çok mutlu olmuştum.,Happy
6351,Sevdiklerimi kaybetmekten korkarım.,Fear
6352,Yalan söylendiğinde öfkelenirim.,Anger
6353,Babamın ölümü beni çok üzmüştü.,Sadness
6354,biri kusmaya başladığında ben de rahatsız olur kusarım.,Disgust
6356,yeğenim istediğim okula gittiğinde çok mutlu oldum.,Happy
6357,evime hırsız girdiğinde korku duydum.,Fear
6358,sebepsiz kırgınlıklar beni çok öfkelendirir.,Anger
6359,sevdiğim arkadaşımın ani ölümü beni üzüyor.,Sadness
6360,böcek ve fareden tiksinirim.,Disgust
